"Source Country","Destination Country","Visa Status","Visa Type",Duration
Afghanistan,"United Arab Emirates",eVisa,eVisa,
Afghanistan,"United Kingdom","Visa Required","visa required",
Afghanistan,"United States of America",Unknown,"Trump ban",
Afghanistan,Uruguay,"Visa Required","visa required",
Afghanistan,Uzbekistan,"Visa Required","visa required",
Afghanistan,Vanuatu,eVisa,eVisa,
Afghanistan,"Vatican City","Visa Required","visa required",
Afghanistan,Venezuela,"Visa Required","visa required",
Afghanistan,"Viet Nam",eVisa,eVisa,90
Afghanistan,Yemen,"Visa Required","visa required",
Afghanistan,Zambia,eVisa,eVisa,
Afghanistan,Zimbabwe,eVisa,eVisa,
Albania,Afghanistan,"Visa Required","visa required",
Albania,Algeria,"Visa Required","visa required",
Albania,Andorra,"Visa Free",visa-free,90
Albania,Angola,"Visa Required","visa required",
Albania,"Antigua and Barbuda","Visa Free",visa-free,180
Albania,Argentina,"Visa Required","visa required",
Albania,Armenia,"Visa Free",visa-free,180
Albania,Australia,eVisa,eVisa,
Albania,Austria,"Visa Free",visa-free,90
Albania,Azerbaijan,"Visa Free",visa-free,90
Albania,Bahamas,eVisa,eVisa,
Albania,Bahrain,eVisa,eVisa,
Albania,Bangladesh,"Visa on Arrival","visa on arrival",30
Albania,Barbados,"Visa Free",visa-free,28
Albania,Belarus,"Visa Free",visa-free,30
Albania,Belgium,"Visa Free",visa-free,90
Albania,Belize,"Visa Required","visa required",
Albania,Benin,eVisa,eVisa,
Albania,Bhutan,eVisa,eVisa,
Albania,Bolivia,eVisa,eVisa,
Albania,"Bosnia and Herzegovina","Visa Free",visa-free,90
Albania,Botswana,eVisa,eVisa,
Albania,Brazil,"Visa Free",visa-free,90
Albania,Brunei,"Visa Required","visa required",
Albania,Bulgaria,"Visa Free",visa-free,90
Albania,"Burkina Faso",eVisa,eVisa,
Albania,Burundi,"Visa on Arrival","visa on arrival",30
Albania,Cambodia,"Visa on Arrival","eVisa / visa on arrival",30
Albania,Cameroon,eVisa,eVisa,
Albania,Canada,"Visa Required","visa required",
Albania,"Cape Verde","Visa on Arrival","visa on arrival (EASE)",
Albania,"Central African Republic","Visa Required","visa required",
Albania,Chad,eVisa,eVisa,
Albania,Chile,"Visa Free",visa-free,90
Albania,China,"Visa Free",visa-free,90
Albania,Colombia,"Visa Free",visa-free,90
Albania,Comoros,"Visa on Arrival","visa on arrival",45
Albania,Congo,"Visa Required","visa required",
Albania,"Congo (Dem. Rep.)",eVisa,eVisa,90
Albania,"Costa Rica","Visa Required","visa required",
Albania,"Cote d'Ivoire (Ivory Coast)",Unknown,pre-enrollment,90
Albania,Croatia,"Visa Free",visa-free,90
Albania,Cuba,eVisa,eVisa,90
